Date,Downloads
2010-03,0
2010-04,15
2010-05,30
2010-06,17
2010-07,22
2010-08,20
2010-09,17
2010-10,29
2010-11,60
2010-12,6
2011-01,29
2011-02,17
2011-03,10
2011-04,14
2011-05,27
2011-06,7
2011-07,10
2011-08,3
2011-09,23
2011-10,47
2011-11,7
2011-12,6
2012-01,35
2012-02,23
2012-03,17
2012-04,20
2012-05,11
2012-06,19
2012-07,40
2012-08,11
2012-09,7
2012-10,1
2012-11,5
2012-12,3
2013-01,4
2013-02,0
2013-03,0
,612
